,GEO.display-label,HC03_VC30,HC03_VC31
0,"Autauga County, Alabama",9.2,0.3
1,"Baldwin County, Alabama",10.5,0.3
2,"Barbour County, Alabama",14.8,0.3
3,"Bibb County, Alabama",10.5,0.5
4,"Blount County, Alabama",14.3,0.1
5,"Bullock County, Alabama",14.8,0.0
6,"Butler County, Alabama",8.9,0.4
7,"Calhoun County, Alabama",9.5,0.3
8,"Chambers County, Alabama",12.4,0.2
9,"Cherokee County, Alabama",16.9,0.0
10,"Chilton County, Alabama",15.5,0.1
11,"Choctaw County, Alabama",15.2,0.2
12,"Clarke County, Alabama",6.9,0.3
13,"Clay County, Alabama",14.4,0.2
14,"Cleburne County, Alabama",13.6,0.0
15,"Coffee County, Alabama",9.8,0.1
16,"Colbert County, Alabama",10.4,0.2
17,"Conecuh County, Alabama",12.7,0.0
18,"Coosa County, Alabama",13.3,0.8
19,"Covington County, Alabama",11.7,0.0
20,"Crenshaw County, Alabama",11.8,0.0
21,"Cullman County, Alabama",15.3,0.1
22,"Dale County, Alabama",10.8,0.3
23,"Dallas County, Alabama",11.7,0.1
24,"DeKalb County, Alabama",13.7,0.1
25,"Elmore County, Alabama",11.4,0.2
26,"Escambia County, Alabama",11.7,0.3
27,"Etowah County, Alabama",10.7,0.1
28,"Fayette County, Alabama",11.2,0.2
29,"Franklin County, Alabama",16.6,0.2
30,"Geneva County, Alabama",10.0,0.0
31,"Greene County, Alabama",17.2,2.8
32,"Hale County, Alabama",14.5,0.5
33,"Henry County, Alabama",5.3,0.4
34,"Houston County, Alabama",8.4,0.3
35,"Jackson County, Alabama",10.5,0.2
36,"Jefferson County, Alabama",11.2,1.1
37,"Lamar County, Alabama",8.3,0.5
38,"Lauderdale County, Alabama",10.1,0.0
39,"Lawrence County, Alabama",10.4,0.0
40,"Lee County, Alabama",11.8,0.9
41,"Limestone County, Alabama",10.0,0.2
42,"Lowndes County, Alabama",13.5,1.0
43,"Macon County, Alabama",14.6,0.1
44,"Madison County, Alabama",9.6,0.4
45,"Marengo County, Alabama",12.5,0.0
46,"Marion County, Alabama",11.7,0.4
47,"Marshall County, Alabama",15.0,0.1
48,"Mobile County, Alabama",11.4,0.4
49,"Monroe County, Alabama",11.2,0.0
50,"Montgomery County, Alabama",10.9,0.8
51,"Morgan County, Alabama",11.5,0.3
52,"Perry County, Alabama",14.3,0.0
53,"Pickens County, Alabama",11.6,0.9
54,"Pike County, Alabama",12.7,0.0
55,"Randolph County, Alabama",14.4,0.0
56,"Russell County, Alabama",14.5,0.3
57,"St. Clair County, Alabama",11.0,0.1
58,"Shelby County, Alabama",8.9,0.2
59,"Sumter County, Alabama",18.2,0.3
60,"Talladega County, Alabama",9.5,0.6
61,"Tallapoosa County, Alabama",13.3,0.8
62,"Tuscaloosa County, Alabama",9.5,0.7
63,"Walker County, Alabama",11.0,0.2
64,"Washington County, Alabama",11.0,0.0
65,"Wilcox County, Alabama",20.7,1.0
66,"Winston County, Alabama",9.1,0.3
67,"Aleutians East Borough, Alaska",1.7,0.0
68,"Aleutians West Census Area, Alaska",4.8,0.7
69,"Anchorage Municipality, Alaska",13.2,1.5
70,"Bethel Census Area, Alaska",11.0,0.0
71,"Bristol Bay Borough, Alaska",14.8,0.0
72,"Denali Borough, Alaska",13.6,7.2
73,"Dillingham Census Area, Alaska",23.2,0.3
74,"Fairbanks North Star Borough, Alaska",14.1,1.1
75,"Haines Borough, Alaska",6.0,2.1
76,"Hoonah-Angoon Census Area, Alaska",5.4,2.4
77,"Juneau City and Borough, Alaska",16.5,5.5
78,"Kenai Peninsula Borough, Alaska",9.7,0.8
79,"Ketchikan Gateway Borough, Alaska",18.7,1.9
80,"Kodiak Island Borough, Alaska",21.1,0.7
81,"Lake and Peninsula Borough, Alaska",7.3,3.2
82,"Matanuska-Susitna Borough, Alaska",15.0,0.5
83,"Nome Census Area, Alaska",12.0,0.3
84,"North Slope Borough, Alaska",24.4,0.1
85,"Northwest Arctic Borough, Alaska",8.0,0.6
86,"Petersburg Census Area, Alaska",14.4,0.0
87,"Prince of Wales-Hyder Census Area, Alaska",14.7,1.0
88,"Sitka City and Borough, Alaska",15.3,0.8
89,"Skagway Municipality, Alaska",4.0,0.9
90,"Southeast Fairbanks Census Area, Alaska",17.5,0.9
91,"Valdez-Cordova Census Area, Alaska",9.0,0.0
92,"Wade Hampton Census Area, Alaska",2.0,0.0
93,"Wrangell City and Borough, Alaska",10.0,1.3
94,"Yakutat City and Borough, Alaska",22.4,2.0
95,"Yukon-Koyukuk Census Area, Alaska",9.9,0.2
96,"Apache County, Arizona",10.3,0.7
97,"Cochise County, Arizona",11.4,0.4
98,"Coconino County, Arizona",13.7,0.9
99,"Gila County, Arizona",10.0,0.2
100,"Graham County, Arizona",17.4,1.7
101,"Greenlee County, Arizona",13.5,1.4
102,"La Paz County, Arizona",13.3,0.1
103,"Maricopa County, Arizona",12.6,2.4
104,"Mohave County, Arizona",15.3,0.5
105,"Navajo County, Arizona",14.8,0.7
106,"Pima County, Arizona",11.0,2.5
107,"Pinal County, Arizona",14.6,0.3
108,"Santa Cruz County, Arizona",12.0,0.2
109,"Yavapai County, Arizona",13.1,0.1
110,"Yuma County, Arizona",14.6,2.2
111,"Arkansas County, Arkansas",12.3,0.3
112,"Ashley County, Arkansas",9.0,0.6
113,"Baxter County, Arkansas",11.2,0.2
114,"Benton County, Arkansas",11.1,0.1
115,"Boone County, Arkansas",12.6,0.1
116,"Bradley County, Arkansas",12.1,0.3
117,"Calhoun County, Arkansas",13.0,0.0
118,"Carroll County, Arkansas",13.7,0.0
119,"Chicot County, Arkansas",10.9,0.5
120,"Clark County, Arkansas",11.2,0.4
121,"Clay County, Arkansas",9.5,0.0
122,"Cleburne County, Arkansas",11.8,0.0
123,"Cleveland County, Arkansas",15.3,0.0
124,"Columbia County, Arkansas",6.6,0.4
125,"Conway County, Arkansas",11.3,0.2
126,"Craighead County, Arkansas",9.1,0.1
127,"Crawford County, Arkansas",13.1,0.1
128,"Crittenden County, Arkansas",11.2,0.8
129,"Cross County, Arkansas",12.1,0.1
130,"Dallas County, Arkansas",14.6,0.0
131,"Desha County, Arkansas",10.3,0.7
132,"Drew County, Arkansas",8.3,0.0
133,"Faulkner County, Arkansas",12.9,0.2
134,"Franklin County, Arkansas",10.8,0.9
135,"Fulton County, Arkansas",16.6,0.0
136,"Garland County, Arkansas",13.5,0.5
137,"Grant County, Arkansas",12.1,0.4
138,"Greene County, Arkansas",9.2,0.2
139,"Hempstead County, Arkansas",10.9,0.5
140,"Hot Spring County, Arkansas",12.5,0.5
141,"Howard County, Arkansas",14.7,0.7
142,"Independence County, Arkansas",14.0,0.2
143,"Izard County, Arkansas",11.1,0.1
144,"Jackson County, Arkansas",12.5,0.0
145,"Jefferson County, Arkansas",9.8,0.3
146,"Johnson County, Arkansas",16.7,1.1
147,"Lafayette County, Arkansas",14.7,2.3
148,"Lawrence County, Arkansas",11.8,0.0
149,"Lee County, Arkansas",12.4,0.9
150,"Lincoln County, Arkansas",13.5,0.0
151,"Little River County, Arkansas",14.7,0.1
152,"Logan County, Arkansas",13.5,0.1
153,"Lonoke County, Arkansas",12.5,0.1
154,"Madison County, Arkansas",15.5,0.0
155,"Marion County, Arkansas",10.0,0.7
156,"Miller County, Arkansas",10.7,0.5
157,"Mississippi County, Arkansas",14.1,0.2
158,"Monroe County, Arkansas",16.4,0.0
159,"Montgomery County, Arkansas",10.0,0.2
160,"Nevada County, Arkansas",9.1,0.0
161,"Newton County, Arkansas",17.6,0.3
162,"Ouachita County, Arkansas",15.5,0.3
163,"Perry County, Arkansas",13.3,0.2
164,"Phillips County, Arkansas",13.3,0.1
165,"Pike County, Arkansas",12.9,0.4
166,"Poinsett County, Arkansas",11.6,0.1
167,"Polk County, Arkansas",11.7,0.0
168,"Pope County, Arkansas",12.0,0.1
169,"Prairie County, Arkansas",9.0,0.0
170,"Pulaski County, Arkansas",10.7,1.2
171,"Randolph County, Arkansas",13.8,0.1
172,"St. Francis County, Arkansas",10.1,0.2
173,"Saline County, Arkansas",12.2,0.0
174,"Scott County, Arkansas",15.0,0.6
175,"Searcy County, Arkansas",14.8,0.6
176,"Sebastian County, Arkansas",12.7,0.4
177,"Sevier County, Arkansas",22.1,1.0
178,"Sharp County, Arkansas",13.7,0.0
179,"Stone County, Arkansas",13.3,0.0
180,"Union County, Arkansas",7.2,0.3
181,"Van Buren County, Arkansas",10.1,0.5
182,"Washington County, Arkansas",15.0,0.7
183,"White County, Arkansas",14.1,0.4
184,"Woodruff County, Arkansas",10.5,0.0
185,"Yell County, Arkansas",17.4,0.3
186,"Alameda County, California",10.6,11.3
187,"Alpine County, California",14.5,0.0
188,"Amador County, California",8.1,0.7
189,"Butte County, California",10.8,1.2
190,"Calaveras County, California",11.7,1.1
191,"Colusa County, California",18.4,0.5
192,"Contra Costa County, California",12.0,8.9
193,"Del Norte County, California",14.3,0.1
194,"El Dorado County, California",11.1,1.5
195,"Fresno County, California",12.6,1.5
196,"Glenn County, California",12.4,0.4
197,"Humboldt County, California",11.5,1.2
198,"Imperial County, California",11.5,1.0
199,"Inyo County, California",14.9,0.2
200,"Kern County, California",17.1,1.0
201,"Kings County, California",16.0,1.6
202,"Lake County, California",11.5,0.6
203,"Lassen County, California",10.4,1.2
204,"Los Angeles County, California",11.3,7.1
205,"Madera County, California",16.2,0.2
206,"Marin County, California",9.5,8.3
207,"Mariposa County, California",13.0,3.3
208,"Mendocino County, California",11.7,0.5
209,"Merced County, California",13.4,0.5
210,"Modoc County, California",11.8,0.0
211,"Mono County, California",12.9,3.2
212,"Monterey County, California",15.2,2.4
213,"Napa County, California",12.8,1.9
214,"Nevada County, California",9.9,0.5
215,"Orange County, California",10.7,3.0
216,"Placer County, California",9.6,1.1
217,"Plumas County, California",14.6,0.0
218,"Riverside County, California",14.6,1.4
219,"Sacramento County, California",13.1,3.1
