,GEO.display-label,HC03_VC30,HC03_VC31,HC03_VC32
0,Geography,Percent; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab),Percent; COMMUTING TO WORK - Workers 16 years and over - Walked,Percent; COMMUTING TO WORK - Workers 16 years and over - Other means
1,"Autauga County, Alabama",0.1,0.5,1.3
2,"Baldwin County, Alabama",0.1,1.0,1.4
3,"Barbour County, Alabama",0.4,1.8,1.5
4,"Bibb County, Alabama",0.5,0.6,1.5
5,"Blount County, Alabama",0.4,0.9,0.4
6,"Bullock County, Alabama",0.7,5.0,1.7
7,"Butler County, Alabama",0.0,0.8,0.6
8,"Calhoun County, Alabama",0.2,1.2,1.2
9,"Chambers County, Alabama",0.2,0.3,0.4
10,"Cherokee County, Alabama",0.2,0.6,0.7
11,"Chilton County, Alabama",0.2,1.1,1.4
12,"Choctaw County, Alabama",0.1,1.9,1.4
13,"Clarke County, Alabama",0.2,1.3,2.6
14,"Clay County, Alabama",0.6,1.8,0.9
15,"Cleburne County, Alabama",0.1,0.2,1.0
16,"Coffee County, Alabama",0.1,1.0,1.3
17,"Colbert County, Alabama",0.2,0.9,0.7
18,"Conecuh County, Alabama",0.0,0.6,0.3
19,"Coosa County, Alabama",0.5,0.9,1.0
20,"Covington County, Alabama",0.2,1.5,1.9
21,"Crenshaw County, Alabama",0.0,1.3,0.8
22,"Cullman County, Alabama",0.1,1.5,1.0
23,"Dale County, Alabama",0.1,1.6,1.7
24,"Dallas County, Alabama",0.3,2.2,1.6
25,"DeKalb County, Alabama",0.0,0.6,0.9
26,"Elmore County, Alabama",0.1,0.4,1.2
27,"Escambia County, Alabama",0.4,1.2,0.5
28,"Etowah County, Alabama",0.3,0.4,0.5
29,"Fayette County, Alabama",0.0,0.3,0.2
30,"Franklin County, Alabama",0.2,0.2,4.7
31,"Geneva County, Alabama",0.0,0.9,1.8
32,"Greene County, Alabama",0.8,3.4,2.1
33,"Hale County, Alabama",0.0,0.3,1.5
34,"Henry County, Alabama",0.1,1.0,2.6
35,"Houston County, Alabama",0.3,0.7,1.3
36,"Jackson County, Alabama",0.1,1.3,0.7
37,"Jefferson County, Alabama",0.9,1.3,1.0
38,"Lamar County, Alabama",0.1,0.5,0.9
39,"Lauderdale County, Alabama",0.2,1.6,1.0
40,"Lawrence County, Alabama",0.1,0.6,0.6
41,"Lee County, Alabama",1.0,2.2,1.0
42,"Limestone County, Alabama",0.3,0.6,0.6
43,"Lowndes County, Alabama",0.3,0.8,0.3
44,"Macon County, Alabama",0.5,5.7,1.4
45,"Madison County, Alabama",0.3,1.2,1.5
46,"Marengo County, Alabama",0.4,0.8,0.9
47,"Marion County, Alabama",0.2,0.9,1.5
48,"Marshall County, Alabama",0.2,1.0,0.8
49,"Mobile County, Alabama",0.5,0.9,0.8
50,"Monroe County, Alabama",0.2,1.0,0.7
51,"Montgomery County, Alabama",0.8,1.4,0.7
52,"Morgan County, Alabama",0.3,0.6,0.6
53,"Perry County, Alabama",0.2,3.5,2.6
54,"Pickens County, Alabama",0.5,1.6,0.5
55,"Pike County, Alabama",0.7,2.2,0.9
56,"Randolph County, Alabama",0.5,1.4,1.1
57,"Russell County, Alabama",0.3,1.1,0.9
58,"St. Clair County, Alabama",0.2,0.5,1.1
59,"Shelby County, Alabama",0.2,0.6,0.8
60,"Sumter County, Alabama",0.3,2.8,0.3
61,"Talladega County, Alabama",0.7,1.3,1.1
62,"Tallapoosa County, Alabama",0.3,0.4,0.5
63,"Tuscaloosa County, Alabama",0.4,1.4,0.9
64,"Walker County, Alabama",0.3,0.9,1.0
65,"Washington County, Alabama",0.0,1.3,1.0
66,"Wilcox County, Alabama",0.1,1.3,0.9
67,"Winston County, Alabama",0.0,0.7,1.8
68,"Aleutians East Borough, Alaska",0.5,71.2,2.2
69,"Aleutians West Census Area, Alaska",0.0,42.5,3.2
70,"Anchorage Municipality, Alaska",1.9,3.1,4.0
71,"Bethel Census Area, Alaska",0.5,33.0,22.6
72,"Bristol Bay Borough, Alaska",0.2,8.9,3.0
73,"Denali Borough, Alaska",0.9,17.8,2.4
74,"Dillingham Census Area, Alaska",1.1,20.3,17.7
75,"Fairbanks North Star Borough, Alaska",1.5,3.6,3.3
76,"Haines Borough, Alaska",1.6,8.1,9.0
77,"Hoonah-Angoon Census Area, Alaska",1.8,29.3,10.5
78,"Juneau City and Borough, Alaska",4.4,5.8,2.2
79,"Kenai Peninsula Borough, Alaska",0.7,5.9,8.1
80,"Ketchikan Gateway Borough, Alaska",2.9,10.5,2.3
81,"Kodiak Island Borough, Alaska",0.6,12.2,4.7
82,"Kusilvak Census Area, Alaska",0.1,47.6,39.1
83,"Lake and Peninsula Borough, Alaska",1.1,36.2,32.4
84,"Matanuska-Susitna Borough, Alaska",1.1,1.9,6.8
85,"Nome Census Area, Alaska",0.3,36.9,22.7
86,"North Slope Borough, Alaska",2.8,37.9,7.9
87,"Northwest Arctic Borough, Alaska",0.4,46.9,21.2
88,"Petersburg Borough, Alaska",0.9,24.6,6.6
89,"Prince of Wales-Hyder Census Area, Alaska",0.9,20.3,7.3
90,"Sitka City and Borough, Alaska",1.8,15.1,7.7
91,"Skagway Municipality, Alaska",0.5,37.8,6.2
92,"Southeast Fairbanks Census Area, Alaska",0.0,14.5,1.1
93,"Valdez-Cordova Census Area, Alaska",0.6,16.5,3.0
94,"Wrangell City and Borough, Alaska",0.8,18.5,4.2
95,"Yakutat City and Borough, Alaska",0.9,27.4,1.4
96,"Yukon-Koyukuk Census Area, Alaska",0.2,38.1,20.1
97,"Apache County, Arizona",0.6,5.0,1.4
98,"Cochise County, Arizona",0.5,3.8,2.6
99,"Coconino County, Arizona",1.9,8.6,4.5
100,"Gila County, Arizona",0.4,3.1,2.3
101,"Graham County, Arizona",1.2,2.7,2.2
102,"Greenlee County, Arizona",0.0,1.9,1.8
103,"La Paz County, Arizona",0.6,5.9,2.0
104,"Maricopa County, Arizona",2.4,1.6,2.6
105,"Mohave County, Arizona",0.5,1.9,2.5
106,"Navajo County, Arizona",1.5,3.7,2.3
107,"Pima County, Arizona",2.8,2.5,3.7
108,"Pinal County, Arizona",0.2,1.3,2.4
109,"Santa Cruz County, Arizona",0.2,2.1,1.9
110,"Yavapai County, Arizona",0.4,3.1,2.2
111,"Yuma County, Arizona",1.0,2.8,1.9
112,"Arkansas County, Arkansas",0.3,2.1,1.4
113,"Ashley County, Arkansas",0.4,1.7,2.7
114,"Baxter County, Arkansas",0.4,1.3,0.8
115,"Benton County, Arkansas",0.2,1.6,1.0
116,"Boone County, Arkansas",0.0,1.2,1.9
117,"Bradley County, Arkansas",0.6,0.6,1.9
118,"Calhoun County, Arkansas",0.3,2.6,0.9
119,"Carroll County, Arkansas",0.0,4.4,0.6
120,"Chicot County, Arkansas",1.1,2.4,3.7
121,"Clark County, Arkansas",0.4,4.1,1.3
122,"Clay County, Arkansas",0.0,2.9,1.5
123,"Cleburne County, Arkansas",0.4,1.5,2.5
124,"Cleveland County, Arkansas",0.6,1.9,2.4
125,"Columbia County, Arkansas",0.1,3.8,1.5
126,"Conway County, Arkansas",0.6,1.3,1.3
127,"Craighead County, Arkansas",0.3,1.7,1.3
128,"Crawford County, Arkansas",0.2,1.9,0.4
129,"Crittenden County, Arkansas",0.6,2.3,2.6
130,"Cross County, Arkansas",0.1,2.1,1.2
131,"Dallas County, Arkansas",0.0,4.3,1.9
132,"Desha County, Arkansas",0.3,2.0,3.5
133,"Drew County, Arkansas",0.0,1.8,0.8
134,"Faulkner County, Arkansas",0.2,1.6,1.5
135,"Franklin County, Arkansas",1.0,1.7,0.6
136,"Fulton County, Arkansas",0.1,1.6,0.9
137,"Garland County, Arkansas",0.5,1.3,1.5
138,"Grant County, Arkansas",0.1,1.3,1.5
139,"Greene County, Arkansas",0.1,0.9,1.6
140,"Hempstead County, Arkansas",0.5,1.1,0.8
141,"Hot Spring County, Arkansas",0.6,1.0,0.7
142,"Howard County, Arkansas",1.9,3.6,1.7
143,"Independence County, Arkansas",0.1,2.0,1.5
144,"Izard County, Arkansas",0.0,1.7,0.9
145,"Jackson County, Arkansas",0.1,1.8,0.4
146,"Jefferson County, Arkansas",0.5,1.5,2.2
147,"Johnson County, Arkansas",0.2,1.7,0.7
148,"Lafayette County, Arkansas",1.0,2.5,1.5
149,"Lawrence County, Arkansas",0.2,3.9,1.5
150,"Lee County, Arkansas",0.1,8.3,1.2
151,"Lincoln County, Arkansas",0.0,3.3,1.5
152,"Little River County, Arkansas",0.0,2.9,0.7
153,"Logan County, Arkansas",0.1,1.5,0.9
154,"Lonoke County, Arkansas",0.2,1.5,0.9
155,"Madison County, Arkansas",0.7,1.8,0.5
156,"Marion County, Arkansas",0.3,2.0,0.3
157,"Miller County, Arkansas",0.3,1.3,0.8
158,"Mississippi County, Arkansas",0.1,1.5,2.3
159,"Monroe County, Arkansas",0.0,3.6,0.9
160,"Montgomery County, Arkansas",0.2,5.7,0.1
161,"Nevada County, Arkansas",0.2,0.4,2.1
162,"Newton County, Arkansas",0.7,3.3,1.3
163,"Ouachita County, Arkansas",1.0,2.7,0.9
164,"Perry County, Arkansas",0.0,1.4,0.6
165,"Phillips County, Arkansas",0.1,2.1,1.3
166,"Pike County, Arkansas",0.8,1.8,2.1
167,"Poinsett County, Arkansas",0.1,1.4,1.0
168,"Polk County, Arkansas",0.3,1.7,0.5
169,"Pope County, Arkansas",0.1,2.0,1.7
170,"Prairie County, Arkansas",1.1,2.7,0.9
171,"Pulaski County, Arkansas",1.0,1.1,1.1
172,"Randolph County, Arkansas",0.1,1.3,0.6
173,"St. Francis County, Arkansas",0.1,3.4,2.5
174,"Saline County, Arkansas",0.2,0.7,0.8
175,"Scott County, Arkansas",0.2,1.4,1.9
176,"Searcy County, Arkansas",0.4,4.1,0.2
177,"Sebastian County, Arkansas",0.4,1.4,1.2
178,"Sevier County, Arkansas",0.2,1.1,0.2
179,"Sharp County, Arkansas",0.0,1.5,1.8
180,"Stone County, Arkansas",0.0,0.8,3.3
181,"Union County, Arkansas",0.1,1.6,1.0
182,"Van Buren County, Arkansas",0.2,1.8,1.1
183,"Washington County, Arkansas",0.9,2.5,1.3
184,"White County, Arkansas",0.2,2.8,0.6
185,"Woodruff County, Arkansas",0.7,1.8,0.8
186,"Yell County, Arkansas",0.4,1.8,2.0
187,"Alameda County, California",13.6,3.7,3.5
188,"Alpine County, California",0.0,8.4,1.8
189,"Amador County, California",0.5,3.6,0.9
190,"Butte County, California",1.1,3.7,3.9
191,"Calaveras County, California",0.3,1.9,0.8
192,"Colusa County, California",0.3,2.3,1.1
193,"Contra Costa County, California",10.1,1.7,1.9
194,"Del Norte County, California",0.6,3.5,2.3
195,"El Dorado County, California",1.7,2.5,2.2
196,"Fresno County, California",1.3,1.9,2.9
197,"Glenn County, California",0.3,3.6,2.1
198,"Humboldt County, California",1.7,6.7,2.8
199,"Imperial County, California",1.1,2.1,2.4
200,"Inyo County, California",0.8,9.2,5.5
201,"Kern County, California",1.1,1.4,2.9
202,"Kings County, California",0.9,2.7,1.7
203,"Lake County, California",0.7,3.3,0.8
204,"Lassen County, California",1.2,4.3,1.6
205,"Los Angeles County, California",6.8,2.8,2.3
206,"Madera County, California",0.3,2.5,2.2
207,"Marin County, California",9.9,3.2,2.6
208,"Mariposa County, California",2.9,6.9,3.5
209,"Mendocino County, California",0.5,5.5,1.9
210,"Merced County, California",0.8,2.2,3.4
211,"Modoc County, California",0.5,6.7,1.8
212,"Mono County, California",12.0,14.2,6.7
213,"Monterey County, California",2.1,3.1,8.0
214,"Napa County, California",1.3,4.3,1.4
215,"Nevada County, California",1.2,2.1,2.3
216,"Orange County, California",2.5,2.0,2.1
217,"Placer County, California",1.3,1.6,1.7
218,"Plumas County, California",0.2,5.2,2.4
219,"Riverside County, California",1.4,1.4,1.6
220,"Sacramento County, California",2.9,2.2,2.4
221,"San Benito County, California",0.8,1.6,1.5
222,"San Bernardino County, California",1.7,1.8,1.2
223,"San Diego County, California",3.0,2.9,2.0
224,"San Francisco County, California",33.1,10.4,6.5
225,"San Joaquin County, California",1.5,1.9,1.6
226,"San Luis Obispo County, California",1.5,4.5,3.3
227,"San Mateo County, California",9.4,2.5,2.6
228,"Santa Barbara County, California",3.3,4.4,5.3
229,"Santa Clara County, California",3.9,2.0,3.2
230,"Santa Cruz County, California",2.9,3.9,6.6
231,"Shasta County, California",0.7,2.1,1.8
232,"Sierra County, California",0.0,4.2,3.8
233,"Siskiyou County, California",0.7,5.1,1.5
234,"Solano County, California",2.8,1.7,1.5
235,"Sonoma County, California",1.9,3.2,2.2
236,"Stanislaus County, California",1.0,1.8,1.6
237,"Sutter County, California",1.2,1.7,1.4
238,"Tehama County, California",0.4,3.8,1.9
239,"Trinity County, California",1.1,4.9,1.9
240,"Tulare County, California",0.7,1.9,2.2
241,"Tuolumne County, California",0.3,2.3,1.5
242,"Ventura County, California",1.3,1.9,1.7
243,"Yolo County, California",3.7,3.2,10.2
244,"Yuba County, California",1.5,1.5,1.8
245,"Adams County, Colorado",3.7,1.2,1.2
246,"Alamosa County, Colorado",0.5,7.7,3.0
247,"Arapahoe County, Colorado",4.7,1.5,1.3
248,"Archuleta County, Colorado",0.2,3.8,1.7
249,"Baca County, Colorado",0.0,10.1,1.9
250,"Bent County, Colorado",0.0,3.7,1.3
251,"Boulder County, Colorado",5.3,5.0,5.7
252,"Broomfield County, Colorado",4.0,1.0,1.7
253,"Chaffee County, Colorado",0.2,4.2,6.0
254,"Cheyenne County, Colorado",0.0,6.1,2.0
255,"Clear Creek County, Colorado",1.2,5.5,2.5
256,"Conejos County, Colorado",0.6,2.5,1.0
257,"Costilla County, Colorado",1.3,5.1,0.0
258,"Crowley County, Colorado",0.0,7.3,0.5
259,"Custer County, Colorado",0.0,4.7,0.0
260,"Delta County, Colorado",0.3,4.9,2.0
261,"Denver County, Colorado",6.8,4.5,3.4
262,"Dolores County, Colorado",0.0,25.1,0.3
263,"Douglas County, Colorado",1.7,0.9,1.3
264,"Eagle County, Colorado",7.1,2.1,1.3
265,"Elbert County, Colorado",0.2,0.8,0.7
266,"El Paso County, Colorado",0.8,3.6,1.6
267,"Fremont County, Colorado",0.4,3.2,3.3
268,"Garfield County, Colorado",4.4,2.8,3.0
269,"Gilpin County, Colorado",1.4,3.1,1.0
270,"Grand County, Colorado",2.2,5.7,1.3
271,"Gunnison County, Colorado",2.1,14.6,11.0
272,"Hinsdale County, Colorado",0.0,21.3,2.3
273,"Huerfano County, Colorado",2.0,11.4,1.2
274,"Jackson County, Colorado",0.1,12.9,3.4
275,"Jefferson County, Colorado",3.2,1.5,1.6
276,"Kiowa County, Colorado",0.4,7.0,2.4
277,"Kit Carson County, Colorado",0.7,3.1,1.0
278,"Lake County, Colorado",1.7,11.2,1.6
279,"La Plata County, Colorado",2.1,5.2,5.0
280,"Larimer County, Colorado",1.2,2.8,5.2
281,"Las Animas County, Colorado",1.0,6.5,1.3
282,"Lincoln County, Colorado",0.0,5.6,1.3
283,"Logan County, Colorado",0.3,4.1,0.7
284,"Mesa County, Colorado",0.5,2.9,2.9
285,"Mineral County, Colorado",1.4,11.3,1.4
286,"Moffat County, Colorado",0.7,6.4,1.3
287,"Montezuma County, Colorado",0.0,3.9,1.3
288,"Montrose County, Colorado",0.2,2.7,1.8
289,"Morgan County, Colorado",0.1,4.4,1.0
290,"Otero County, Colorado",0.0,3.7,1.1
291,"Ouray County, Colorado",0.3,10.8,3.7
292,"Park County, Colorado",1.3,1.1,0.5
293,"Phillips County, Colorado",1.2,8.1,1.2
294,"Pitkin County, Colorado",11.9,10.4,6.5
295,"Prowers County, Colorado",0.0,3.9,2.5
296,"Pueblo County, Colorado",1.0,2.7,1.2
297,"Rio Blanco County, Colorado",0.4,7.0,1.3
298,"Rio Grande County, Colorado",0.2,2.9,0.9
299,"Routt County, Colorado",2.5,4.9,4.3
300,"Saguache County, Colorado",0.9,6.3,2.5
301,"San Juan County, Colorado",1.8,29.4,19.9
302,"San Miguel County, Colorado",17.2,11.8,6.1
303,"Sedgwick County, Colorado",1.4,4.8,1.6
304,"Summit County, Colorado",5.5,7.7,2.9
305,"Teller County, Colorado",0.4,2.7,1.6
306,"Washington County, Colorado",0.7,5.2,1.3
307,"Weld County, Colorado",0.6,2.3,1.8
308,"Yuma County, Colorado",0.2,10.6,0.9
309,"Fairfield County, Connecticut",9.9,2.6,1.2
310,"Hartford County, Connecticut",3.6,2.2,1.2
311,"Litchfield County, Connecticut",1.4,2.7,0.8
312,"Middlesex County, Connecticut",1.7,2.9,1.1
